iter	RMSE
0	3.250171605
1	3.161131915
2	3.082862842
3	3.010308323
4	2.946128947
5	2.885110455
6	2.830797874
7	2.780961854
8	2.735757742
9	2.694465717
10	2.657104822
11	2.623425031
12	2.592911906
13	2.565970282
14	2.538723362
15	2.51398743
16	2.492437855
17	2.470892471
18	2.452616474
19	2.435776595
20	2.419716174
21	2.405322134
22	2.392669421
23	2.37984696
24	2.368112625
25	2.357769845
26	2.348163884
27	2.339559292
28	2.330874349
29	2.323724423
30	2.315811152
31	2.309660035
32	2.301646802
33	2.296469261
34	2.29137094
35	2.286147976
36	2.28165048
37	2.277541863
38	2.273106168
39	2.26880207
40	2.265078203
41	2.261779419
42	2.258548725
43	2.255831128
44	2.252656567
45	2.249846464
46	2.246816791
47	2.243946162
48	2.240785274
49	2.237891983
50	2.235113859
51	2.232731471
52	2.230513185
53	2.228596765
54	2.226446453
55	2.224247032
56	2.221877271
57	2.220249919
58	2.218585915
59	2.216992693
60	2.214971244
61	2.213560214
62	2.211698286
63	2.20983403
64	2.208497125
65	2.206717615
66	2.204877506
67	2.203225548
68	2.201881229
69	2.200298428
70	2.198378482
71	2.197025606
72	2.195840392
73	2.194145069
74	2.192860057
75	2.191374145
76	2.190042598
77	2.188538821
78	2.187243175
79	2.185912913
80	2.184615221
81	2.183038535
82	2.181483267
83	2.179957742
84	2.17855478
85	2.177363246
86	2.176204302
87	2.175024824
88	2.174004054
89	2.172920245
90	2.171899359
91	2.170628334
92	2.169381814
93	2.167976547
94	2.167012442
95	2.165632242
96	2.164612664
97	2.163491679
98	2.162404258
99	2.161108911
100	2.160016392
101	2.158808307
102	2.157680504
103	2.15672309
104	2.155554337
105	2.154513224
106	2.153200527
107	2.152092738
108	2.151112849
109	2.150160929
110	2.148824107
111	2.148166255
112	2.147065848
113	2.145934804
114	2.14518536
115	2.143850192
116	2.142580602
117	2.141456515
118	2.140370067
119	2.139183271
120	2.138282705
121	2.137371625
122	2.136699766
123	2.135721882
124	2.134700973
125	2.133789852
126	2.132820608
127	2.131950585
128	2.130991219
129	2.12993644
130	2.128916657
131	2.127819711
132	2.126616358
133	2.125597138
134	2.124567168
135	2.123773898
136	2.12292608
137	2.122246962
138	2.121467598
139	2.120677193
140	2.119647922
141	2.118621697
142	2.117762377
143	2.116947673
144	2.116109439
145	2.114989607
146	2.113997346
147	2.113061792
148	2.11197395
149	2.111192488
150	2.110341833
151	2.109568394
152	2.108698014
153	2.10796384
