iter	Passed	Remaining
0	9	9844
1	22	11353
2	37	12329
3	52	12993
4	65	13005
5	80	13290
6	95	13533
7	107	13367
8	121	13420
9	134	13319
10	151	13654
11	168	13839
12	183	13949
13	200	14100
14	213	14029
15	229	14121
16	243	14087
17	262	14307
18	275	14204
19	288	14142
20	299	13981
21	316	14055
22	331	14061
23	343	13986
24	355	13882
25	370	13876
26	383	13820
27	397	13798
28	412	13815
29	428	13860
30	447	13999
31	461	13956
32	473	13882
33	487	13841
34	503	13869
35	515	13806
36	528	13763
37	542	13730
38	556	13703
39	569	13679
40	582	13633
41	600	13707
42	617	13743
43	630	13706
44	644	13677
45	657	13627
46	669	13583
47	686	13605
48	697	13533
49	711	13511
50	727	13542
51	739	13483
52	755	13502
53	768	13456
54	782	13444
55	797	13445
56	809	13396
57	821	13341
58	834	13316
59	848	13290
60	861	13256
61	874	13230
62	887	13196
63	899	13148
64	913	13139
65	927	13120
66	940	13096
67	954	13083
68	967	13055
69	983	13064
70	995	13019
71	1008	12995
72	1025	13025
73	1038	12994
74	1052	12985
75	1067	12981
76	1079	12944
77	1095	12944
78	1107	12916
79	1122	12907
80	1135	12881
81	1152	12900
82	1164	12860
83	1176	12826
84	1192	12841
85	1212	12891
86	1232	12929
87	1249	12951
88	1268	12984
89	1287	13022
90	1306	13055
91	1324	13067
92	1342	13089
93	1364	13148
94	1381	13165
95	1399	13182
96	1414	13164
97	1429	13153
98	1443	13138
99	1459	13135
100	1472	13110
101	1486	13090
102	1502	13083
103	1514	13047
104	1532	13066
105	1546	13044
106	1560	13027
107	1575	13016
108	1589	12995
109	1604	12979
110	1617	12952
111	1631	12936
112	1643	12898
113	1654	12861
114	1667	12831
115	1681	12815
116	1697	12810
117	1713	12810
118	1729	12804
119	1748	12820
120	1762	12804
121	1778	12799
122	1797	12817
123	1818	12847
124	1833	12834
125	1851	12846
126	1868	12842
127	1884	12836
128	1901	12839
129	1921	12861
130	1936	12843
131	1953	12844
132	1971	12854
133	1987	12845
134	2004	12842
135	2021	12841
136	2040	12853
137	2055	12840
138	2070	12824
139	2090	12838
140	2102	12807
141	2119	12806
142	2139	12821
143	2155	12813
144	2171	12804
145	2183	12774
146	2200	12766
147	2214	12745
148	2226	12715
149	2239	12687
150	2251	12661
151	2264	12634
152	2277	12608
153	2291	12587
154	2303	12556
155	2315	12529
156	2331	12518
157	2345	12500
158	2359	12480
159	2372	12457
160	2385	12433
161	2399	12413
162	2413	12390
163	2426	12367
164	2437	12333
165	2449	12307
166	2461	12278
167	2476	12265
168	2490	12246
169	2502	12216
170	2514	12188
171	2527	12165
172	2541	12150
173	2553	12121
174	2569	12115
175	2584	12100
176	2597	12079
177	2608	12048
178	2625	12040
179	2639	12023
180	2652	12003
181	2663	11972
182	2677	11952
183	2689	11925
184	2702	11905
185	2715	11883
186	2731	11875
187	2743	11850
188	2757	11833
189	2773	11823
190	2785	11799
191	2798	11778
192	2811	11756
193	2826	11742
194	2837	11714
195	2850	11690
196	2861	11664
197	2876	11652
198	2889	11631
199	2900	11602
200	2913	11580
201	2927	11565
202	2939	11541
203	2951	11518
204	2963	11491
205	2978	11479
206	2991	11459
207	3005	11444
208	3022	11440
209	3034	11415
210	3046	11391
211	3058	11369
212	3073	11355
213	3086	11336
214	3099	11316
215	3112	11298
216	3126	11280
217	3141	11268
218	3155	11253
219	3169	11238
220	3181	11215
221	3198	11209
222	3213	11197
223	3228	11184
224	3240	11161
225	3254	11146
226	3268	11130
227	3282	11113
228	3295	11096
229	3307	11072
230	3319	11049
231	3332	11031
232	3344	11008
233	3357	10990
234	3370	10971
235	3383	10953
236	3395	10932
237	3409	10915
238	3424	10902
239	3437	10884
240	3448	10862
241	3462	10846
242	3475	10828
243	3488	10809
244	3501	10789
245	3515	10774
246	3529	10760
247	3543	10743
248	3557	10728
249	3569	10709
250	3582	10691
251	3596	10676
252	3613	10670
253	3627	10655
254	3640	10635
255	3654	10620
256	3666	10598
257	3678	10580
258	3692	10563
259	3707	10551
260	3723	10542
261	3735	10522
262	3747	10502
263	3761	10485
264	3773	10466
265	3784	10443
266	3798	10428
267	3811	10411
268	3829	10406
269	3847	10401
270	3859	10383
271	3873	10367
272	3886	10350
273	3901	10336
274	3916	10326
275	3931	10313
276	3943	10293
277	3956	10276
278	3971	10262
279	3984	10245
